Fatalities;Ground
1;0
5;0
14;0
30;0
21;0
19;0
20;0
22;0
27;0
23;0
24;0
18;0
;
2;0
4;0
3;0
46;1
5;5
34;0
7;0
17;0
6;0
52;0
8;0
0;0
10;0
9;0
16;0
48;0
3;
3;11
15;0
73;0
4;
8;
12;0
11;0
50;2
13;0
35;1
1;52
14;1
1;22
2;
25;0
29;0
35;0
26;0
10;20
40;0
10;63
1;37
31;0
21;
28;0
3;58
20;5
30;1
2;36
59;0
45;0
44;0
4;16
20;1
39;0
32;0
87;4
38;0
53;0
43;0
50;0
2;2
41;0
8;1
5;3
4;1
37;0
33;0
2;4
55;0
13;2
80;0
46;0
58;0
12;7
9;3
11;2
36;0
13;3
56;1
23;7
17;
29;4
15;
70;0
2;3
11;8
87;0
0;2
129;0
42;0
1;6
36;1
47;0
66;0
2;13
74;0
128;0
34;8
62;0
17;1
18;2
20;2
67;0
3;1
79;0
61;0
21;2
47;1
49;0
99;0
64;0
3;4
5;1
51;0
65;0
60;0
68;0
0;17
1;1
3;8
33;10
63;0
54;0
78;0
128;6
20;31
6;3
72;1
72;0
27;3
83;0
77;0
13;8
95;0
111;0
107;0
130;0
112;0
81;0
84;0
94;0
86;0
12;1
97;0
12;
13;7
17;87
0;1
101;0
118;0
85;0
57;0
17;22
119;0
56;0
117;0
133;0
124;0
11;1
0;33
98;0
82;0
4;107
51;5
4;7
6;13
15;44
126;0
88;0
3;2
21;1
123;0
155;0
29;1
120;0
57;1
13;11
27;1
84;70
100;0
4;4
74;2
90;0
0;14
10;24
92;0
12;2
102;0
1;5
109;0
99;2
75;0
93;0
163;0
69;0
91;0
104;0
16;1
115;0
82;4
122;0
156;0
0;22
174;0
43;2
2;1
103;0
176;0
110;0
108;0
6;8
89;0
85;5
106;0
96;0
346;0
191;0
1;3
113;0
188;0
25;1
6;5
120;7
14;3
45;1
76;0
154;0
3;113
53;19
583;0
62;8
68;1
131;0
213;0
21;12
137;7
183;0
77;1
12;32
271;2
178;0
257;0
146;0
166;0
301;0
0;40
60;20
180;0
74;4
132;0
137;0
145;8
0;3
8;9
269;0
181;0
3;22
2;19
4;49
174;4
240;0
148;0
329;0
200;0
134;1
520;0
256;0
0;35
167;0
67;15
6;1
5;54
154;2
159;0
143;0
290;0
3;70
8;5
259;11
144;0
3;18
1;8
75;4
126;45
171;0
127;0
107;3
0;50
3;24
21;4
5;2
223;0
261;0
15;2
5;11
46;6
24;4
158;0
4;47
141;0
157;0
116;0
124;1
0;23
264;0
160;0
2;225
4;24
189;0
230;0
4;30
95;3
349;0
16;2
229;0
234;0
23;44
0;20
196;7
22;1
6;2
70;10
0;4
14;13
19;3
8;8
64;10
217;0
16;6
169;0
44;7
55;5
109;4
19;1
145;0
64;125
92;2750
65;2750
114;4
260;5
74;75
225;0
71;0
0;85
121;0
12;5
275;0
4;11
20;13
140;0
99;44
94;14
170;0
114;0
3;6
187;12
21;30
2;6
0;47
49;1
98;2
228;0
ㅤ⠀ㅤ
